hamilton,max_verstappen,bottas,norris,perez,leclerc,ricciardo,sainz,tsunoda,stroll,raikkonen,giovinazzi,ocon,russell,vettel,mick_schumacher,gasly,latifi,alonso,mazepin
1.0,,,,5.0,,10.0,,,,5,,,,1.0,,,,5.0,
1.0,,,,4.0,,7.0,,,,2,,,,4.0,,,,1.0,
1.0,,,,4.0,,5.0,,,,2,,,,4.0,,,,2.0,
1.0,,,,7.0,,7.0,,,,21,,,,2.0,,,,1.0,
2.0,,,,6.0,,7.0,,,,11,,,,7.0,,,,5.0,
1.0,,,,2.0,,,,,,3,,,,1.0,,,,22.0,
2.0,,,,18.0,,,,,,2,,,,2.0,,,,3.0,
4.0,,,,1.0,,,,,,5,,,,3.0,,,,3.0,
1.0,,,,20.0,,,,,,7,,,,18.0,,,,23.0,
7.0,,,,5.0,,,,,,22,,,,4.0,,,,3.0,
1.0,,,,,,,,,,7,,,,19.0,,,,2.0,
5.0,,,,,,,,,,12,,,,2.0,,,,2.0,
4.0,,,,,,,,,,10,,,,4.0,,,,3.0,
1.0,,,,,,,,,,8,,,,1.0,,,,2.0,
4.0,,,,,,,,,,7,,,,3.0,,,,2.0,
1.0,,,,,,,,,,12,,,,1.0,,,,22.0,
1.0,,,,,,,,,,10,,,,1.0,,,,1.0,
1.0,,,,,,,,,,10,,,,8.0,,,,8.0,
2.0,,,,,,,,,,22,,,,4.0,,,,1.0,
1.0,,,,,,,,,,11,,,,4.0,,,,7.0,
1.0,,,,,,,,,,6,,,,2.0,,,,2.0,
9.0,,,,,,,,,,4,,,,1.0,,,,3.0,
4.0,,,,,,,,,,9,,,,5.0,,,,4.0,
2.0,,,,,,,,,,8,,,,3.0,,,,5.0,
2.0,,,,,,,,,,12,,,,1.0,,,,2.0,
3.0,,,,,,,,,,9,,,,18.0,,,,2.0,
4.0,,,,,,,,,,13,,,,2.0,,,,2.0,
1.0,,,,,,,,,,7,,,,1.0,,,,6.0,
1.0,,,,,,,,,,10,,,,4.0,,,,4.0,
3.0,,,,,,,,,,12,,,,3.0,,,,11.0,
5.0,,,,,,,,,,4,,,,3.0,,,,5.0,
1.0,,,,,,,,,,4,,,,6.0,,,,5.0,
16.0,,,,,,,,,,2,,,,4.0,,,,3.0,
2.0,,,,,,,,,,5,,,,2.0,,,,4.0,
1.0,,,,,,,,,,6,,,,6.0,,,,4.0,
1.0,,,,,,,,,,4,,,,2.0,,,,9.0,
2.0,,,,,,,,,,19,,,,4.0,,,,3.0,
1.0,,,,,,,,,,8,,,,5.0,,,,6.0,
1.0,,,,,,,,,,18,,,,3.0,,,,4.0,
1.0,,,,,,,,,,7,,,,3.0,,,,6.0,
1.0,,,,,,,,,,5,,,,4.0,,,,5.0,
3.0,,,,,,,,,,3,,,,2.0,,,,6.0,
4.0,,,,,,,,,,4,,,,2.0,,,,5.0,
1.0,,,,,,,,,,8,,,,5.0,,,,2.0,
1.0,,,,,,,,,,16,,,,4.0,,,,7.0,
2.0,,,,,,,,,,19,,,,16.0,,,,21.0,
1.0,,,,,,,,,,4,,,,2.0,,,,4.0,
1.0,,,,,,,,,,3,,,,3.0,,,,22.0,
2.0,,,,,,,,,,18,,,,4.0,,,,6.0,
1.0,,,,,,,,,,2,,,,13.0,,,,6.0,
1.0,,,,,,,,,,5,,,,1.0,,,,6.0,
1.0,,,,,,,,,,3,,,,18.0,,,,9.0,
1.0,,,,,,,,,,2,,,,2.0,,,,18.0,
5.0,,,,,,,,,,21,,,,2.0,,,,12.0,
1.0,,,,,,,,,,6,,,,20.0,,,,11.0,
9.0,,,,,,,,,,4,,,,17.0,,,,20.0,
1.0,,,,,,,,,,3,,,,5.0,,,,19.0,
2.0,,,,,,,,,,5,,,,10.0,,,,20.0,
3.0,,,,,,,,,,6,,,,20.0,,,,20.0,
4.0,,,,,,,,,,6,,,,6.0,,,,10.0,
1.0,,,,,,,,,,9,,,,10.0,,,,5.0,
3.0,,,,,,,,,,4,,,,12.0,,,,13.0,
1.0,,,,,,,,,,4,,,,7.0,,,,18.0,
2.0,,,,,,,,,,4,,,,13.0,,,,17.0,
7.0,,,,,,,,,,5,,,,20.0,,,,11.0,
1.0,,,,,,,,,,19,,,,10.0,,,,11.0,
4.0,,,,,,,,,,6,,,,13.0,,,,11.0,
1.0,,,,,,,,,,20,,,,11.0,,,,20.0,
1.0,,,,,,,,,,6,,,,10.0,,,,15.0,
1.0,,,,,,,,,,4,,,,12.0,,,,17.0,
2.0,,,,,,,,,,5,,,,3.0,,,,21.0,
1.0,,,,,,,,,,4,,,,13.0,,,,12.0,
1.0,,,,,,,,,,3,,,,12.0,,,,6.0,
7.0,,,,,,,,,,20,,,,14.0,,,,19.0,
1.0,,,,,,,,,,2,,,,15.0,,,,5.0,
3.0,,,,,,,,,,7,,,,,,,,11.0,
1.0,,,,,,,,,,14,,,,,,,,19.0,
1.0,,,,,,,,,,5,,,,,,,,18.0,
1.0,,,,,,,,,,3,,,,,,,,13.0,
1.0,,,,,,,,,,2,,,,,,,,7.0,
1.0,,,,,,,,,,4,,,,,,,,12.0,
3.0,,,,,,,,,,5,,,,,,,,7.0,
1.0,,,,,,,,,,20,,,,,,,,14.0,
,,,,,,,,,,20,,,,,,,,7.0,
,,,,,,,,,,5,,,,,,,,7.0,
,,,,,,,,,,3,,,,,,,,16.0,
,,,,,,,,,,3,,,,,,,,5.0,
,,,,,,,,,,3,,,,,,,,13.0,
,,,,,,,,,,4,,,,,,,,10.0,
,,,,,,,,,,3,,,,,,,,10.0,
,,,,,,,,,,18,,,,,,,,14.0,
,,,,,,,,,,3,,,,,,,,16.0,
,,,,,,,,,,2,,,,,,,,14.0,
,,,,,,,,,,17,,,,,,,,20.0,
,,,,,,,,,,4,,,,,,,,12.0,
,,,,,,,,,,6,,,,,,,,16.0,
,,,,,,,,,,3,,,,,,,,9.0,
,,,,,,,,,,2,,,,,,,,19.0,
,,,,,,,,,,3,,,,,,,,18.0,
,,,,,,,,,,3,,,,,,,,6.0,
,,,,,,,,,,3,,,,,,,,18.0,
,,,,,,,,,,17,,,,,,,,17.0,
,,,,,,,,,,2,,,,,,,,17.0,
,,,,,,,,,,5,,,,,,,,11.0,
,,,,,,,,,,4,,,,,,,,11.0,
,,,,,,,,,,5,,,,,,,,17.0,
,,,,,,,,,,1,,,,,,,,10.0,
,,,,,,,,,,3,,,,,,,,8.0,
,,,,,,,,,,3,,,,,,,,9.0,
,,,,,,,,,,19,,,,,,,,5.0,
,,,,,,,,,,8,,,,,,,,7.0,
,,,,,,,,,,7,,,,,,,,7.0,
,,,,,,,,,,9,,,,,,,,7.0,
,,,,,,,,,,10,,,,,,,,8.0,
,,,,,,,,,,14,,,,,,,,20.0,
,,,,,,,,,,17,,,,,,,,18.0,
,,,,,,,,,,15,,,,,,,,16.0,
,,,,,,,,,,7,,,,,,,,8.0,
,,,,,,,,,,9,,,,,,,,8.0,
,,,,,,,,,,8,,,,,,,,16.0,
,,,,,,,,,,12,,,,,,,,8.0,
,,,,,,,,,,7,,,,,,,,19.0,
,,,,,,,,,,16,,,,,,,,18.0,
,,,,,,,,,,15,,,,,,,,7.0,
,,,,,,,,,,18,,,,,,,,14.0,
,,,,,,,,,,13,,,,,,,,14.0,
,,,,,,,,,,12,,,,,,,,18.0,
,,,,,,,,,,19,,,,,,,,20.0,
,,,,,,,,,,11,,,,,,,,17.0,
,,,,,,,,,,4,,,,,,,,11.0,
,,,,,,,,,,13,,,,,,,,19.0,
,,,,,,,,,,14,,,,,,,,,
,,,,,,,,,,11,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,
,,,,,,,,,,17,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,
,,,,,,,,,,14,,,,,,,,,
,,,,,,,,,,12,,,,,,,,,
,,,,,,,,,,13,,,,,,,,,
,,,,,,,,,,9,,,,,,,,,
,,,,,,,,,,14,,,,,,,,,
,,,,,,,,,,12,,,,,,,,,
,,,,,,,,,,11,,,,,,,,,
,,,,,,,,,,9,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,
,,,,,,,,,,14,,,,,,,,,
,,,,,,,,,,12,,,,,,,,,
,,,,,,,,,,11,,,,,,,,,
